higher_order,dynamic_behavior,n_werewolves,winrate,correct_score,num_rounds
False,False,1,0.454,0.25939776579594287,6.902
False,False,2,0.304,0.27330666015845,7.408
False,False,3,0.348,0.39717608445608216,6.846
False,False,4,0.482,0.5175414444881429,6.402
False,False,5,0.56,0.6457966158841293,6.24
False,False,6,0.63,0.7589300068035089,6.46
False,False,7,0.368,0.7750328622698653,5.902
False,False,8,0.084,0.7572858016695849,3.584
False,False,9,0.0,0.6933740075713759,1.168
True,False,1,0.966,0.39606361701808684,3.92
True,False,2,0.928,0.5094464969465528,5.024
True,False,3,0.892,0.6323734747361116,5.62
True,False,4,0.84,0.7323689485632635,6.024
True,False,5,0.734,0.7809506760694986,6.384
True,False,6,0.52,0.7889549886277402,5.996
True,False,7,0.224,0.7501742206555059,4.78
True,False,8,0.028,0.6835283528408349,2.638
True,False,9,0.0,0.5932682929673341,1.168
True,True,1,0.962,0.397462631005172,3.876
True,True,2,0.91,0.5069591024845764,5.052
True,True,3,0.87,0.6354412734259284,5.584
True,True,4,0.828,0.7323595657055563,5.984
True,True,5,0.724,0.7708770175803471,6.334
True,True,6,0.528,0.7937856116727726,6.09
True,True,7,0.236,0.7440688216208596,4.71
True,True,8,0.036,0.6597935923643419,2.64
True,True,9,0.0,0.5947026484952955,1.154
